No.,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU(ft2),Fee,Year Created,Population,geo_Accuracy Score,geo_Zipcode
26,Coronado,CA,Coronado CA,32.6509836,-117.2405383,F ,,3.8,1991,24417,1,92118
27,Cupertino,CA,Cupertino CA,37.3092293,-122.1136841,E ,4073,4.7,1992,60170,1,95014
28,Davis,CA,Davis CA,37.997144,-122.493809,A ,,3.56,2012,65622,1,95616
29,Del Mar,CA,Del Mar CA,32.9585727,-117.281275,W ,,12.52,2009,4161,1,92014
30,Dixon,CA,Dixon CA,38.4346541,-121.8624143,F ,,3.77,,18351,1,95620
31,El Paso de Robles,CA,El Paso de Robles CA,35.6337529,-120.7583294,V ,,,,24297,0.8,93446
32,Elk Grove,CA,Elk Grove CA,38.4070964,-121.4137848,IA ,,11.68,2004,153015,1,95624
33,Escalon,CA,Escalon CA,37.7787917,-121.0142862,T ,,,1993,7132,1,95320
34,Escondido,CA,Escondido CA,33.1347058,-117.1400172,V ,,2.1,1994,143911,1,92025
35,Folsom,CA,Folsom CA,38.6661182,-121.2139474,V ,,,1990,72203,1,95630
36,Fortuna,CA,Fortuna CA,40.5783404,-124.2150154,A ,,0.55,1993,11926,1,95540
37,Galt,CA,Galt CA,38.2710457,-121.3449489,F ,,2.43,2002,23647,1,95632
38,Grover Beach,CA,Grover Beach CA,35.1199232,-120.6391722,F,,4.85,,13275,1,93433
39,Hollister,CA,Hollister CA,36.8633875,-121.4769456,V ,,,,34928,1,95023
40,Larkspur,CA,Larkspur CA,37.9399687,-122.5621059,E ,3000,1.25,1995,11926,1,94939
41,Los Angeles,CA,Los Angeles CA,34.0207305,-118.6919151,R ,,8.25,1993,3792621,1,90001
42,Millbrae,CA,Millbrae CA,37.5985498,-122.4347524,W ,,23.71,,20532,1,94030
43,Modesto,CA,Modesto CA,37.5952611,-121.1477162,F ,,3.23,2004,201165,1,95350
44,Monterey,CA,Monterey CA,36.6108816,-121.9375386,F ,,5.44,1997,27810,1,93940
45,Oceanside,CA,Oceanside CA,33.2260995,-117.3875813,F ,,1,2002,167086,1,92054
46,Ontario,CA,Ontario CA,34.0339321,-117.744016,R ,,,2002,163924,1,91758
47,Palo Alto,CA,Palo Alto CA,37.425713,-122.1703694,E ,2500,15.04,1989,64403,1,94301
48,Pinole,CA,Pinole CA,38.0145745,-122.4535167,F ,,2.92,1979,18390,1,94564
49,Poway,CA,Poway CA,32.9967604,-117.0825173,V ,,4.36,,47811,1,92064
50,Rancho Cordova,CA,Rancho Cordova CA,38.5676276,-121.3307456,E ,3500,5.54,1996,64776,1,95670
51,Rancho Palos Verdes,CA,Rancho Palos Verdes CA,33.7586462,-118.4298852,E ,3804,8.06,2005,41643,1,90275
52,Redding,CA,Redding CA,40.5741238,-122.502813,T ,,1.32,1993,89861,1,96001
53,Richmond,CA,Richmond CA,37.9553875,-122.4128268,V ,,,,103701,1,94801
54,Sacramento,CA,Sacramento CA,38.561919,-121.5829956,D ,,11.31,,466488,1,94240
55,Sacramento County,CA,Sacramento County CA,38.3776164,-121.724655,F ,,5.84,1995,1400949,1,
56,Salinas,CA,Salinas CA,36.6866145,-121.7112381,V ,,,,150441,1,93901
57,San Bruno,CA,San Bruno CA,37.4982395,-122.3053756,A,,4.2,1993,41114,1,94066
58,San Carlos,CA,San Carlos CA,37.4982395,-122.3053756,T ,,,1994,28755,1,94070
59,San Clemente,CA,San Clemente CA,33.4390436,-117.653751,T ,,5.1,1993,63522,1,92672
60,San Diego,CA,San Diego CA,32.8248175,-117.3891615,W ,,0.95,1990,1307402,1,92101
61,San Jose,CA,San Jose CA,37.2965315,-122.0975924,T ,,7.87,1982,945942,1,95110
62,San Marcos,CA,San Marcos CA,33.1344255,-117.2403476,F ,,1.77,2001,83781,1,92069
63,San Ramon,CA,San Ramon CA,37.7581715,-121.9756271,F,,1.92,1993,73333,1,94583
64,Santa Clara County,CA,Santa Clara County CA,37.1896131,-121.9855085,V ,,,,1784642,1,
65,Santa Clarita,CA,Santa Clarita CA,34.4089311,-118.6347145,F,,2.12,1994,176320,1,91350
66,Santa Cruz,CA,Santa Cruz CA,36.9758708,-122.1175196,T,,1.77,1994,59946,1,95060
67,Santa Monica,CA,Santa Monica CA,34.0218555,-118.5157748,R,,,1995,89736,1,90401
68,Santa Rosa,CA,Santa Rosa CA,38.4354666,-122.8436277,F,,1.96,1996,167815,1,95401
69,South San Francisco,CA,South San Francisco CA,37.652572,-122.4861902,V ,,,1994,63632,1,94080
70,Stockton,CA,Stockton CA,37.973138,-121.3719173,E,2347,2.1,,291707,1,95201
71,Tracy,CA,Tracy CA,37.7207938,-121.4994524,E,3140,1.2,,84266,1,95376
72,Vallejo,CA,Vallejo CA,38.1166238,-122.417124,F,,1.97,,115942,1,94589
73,Vista,CA,Vista CA,33.1849784,-117.3105181,F,,1.8,,93834,1,92083
74,Woodland,CA,Woodland CA,38.6751022,-121.8097156,T,,0.48,,55468,1,95695
75,Adams County,CO,Adams County CO,39.8693685,-104.6596974,A ,,6.9,2012,469193,1,
76,Arvada,CO,Arvada CO,39.6884983,-104.9670119,IA ,,4.26,2002,106433,1,80002
77,Aurora,CO,Aurora CO,39.6890151,-104.8269165,E,2500,10.46,2002,345803,1,80010
78,Berthoud,CO,Berthoud CO,40.3135436,-105.0757644,F,,3.5,1989,5105,1,80513
79,Boulder,CO,Boulder CO,40.0294203,-105.3100171,R,,19.83,1974,310048,1,80301
80,Brighton,CO,Brighton CO,39.9589947,-104.9411288,T,,5.5,2011,35719,1,80601
81,Canon City,CO,Canon City CO,38.431743,-105.2459919,IA ,,11.09,2004,16318,1,81212
82,Castle Rock,CO,Castle Rock CO,39.3736497,-104.9109981,E,3255,7.12,2002,48231,1,80104
83,Colorado Springs,CO,Colorado Springs CO,38.875868,-104.8984425,A,,5,2005,416427,1,80903
84,Denver,CO,Denver CO,39.6476682,-105.0322098,T,,12.75,1980,649495,1,80202
85,Englewood,CO,Englewood CO,39.6477343,-105.0322098,A ,,1.39,,30255,1,80110
86,Erie,CO,Erie CO,40.0509244,-105.0771444,E,5300,11.98,2003,19723,1,80516
87,Evans,CO,Evans CO,40.3558231,-104.7755333,A,,9.43,1998,18537,1,80620
88,Federal Heights,CO,Federal Heights CO,39.8671776,-105.0283336,IA ,,3.15,2001,11973,0.8,80221
89,Firestone,CO,Firestone CO,40.1425498,-104.9817214,IA,,7,2009,11175,1,80520
90,Fort Collins,CO,Fort Collins CO,40.5565739,-105.2077344,R,,17,1986,152061,1,80521
91,Fountain,CO,Fountain CO,38.6574951,-104.7579726,V ,,,,25846,1,80817
92,Frederick,CO,Frederick CO,40.1096974,-104.9970493,A,,7.25,2008,10196,1,80530
93,Golden,CO,Golden CO,39.7434388,-105.2719494,IA,,4.22,1997,19393,1,80401
94,Grand Junction,CO,Grand Junction CO,39.0856082,-108.7099181,E,2500,3,2015,61881,1,81501
95,Greeley,CO,Greeley CO,40.4294645,-104.8333041,A,,23.34,2002,96539,1,80631
96,Idaho Springs,CO,Idaho Springs CO,39.7367546,-105.5322871,V ,,,2006,1717,1,80452
97,Lafayette,CO,Lafayette CO,40.002538,-105.1399453,F,,9.38,2007,24453,1,80026
98,Lakewood,CO,Lakewood CO,39.6901295,-105.1262485,D ,,4.09,1998,147214,0.9,80215
99,Larimer County,CO,Larimer County CO,40.6282951,-105.849425,T,,,,315988,1,
100,Littleton,CO,Littleton CO,39.5827179,-105.0774064,A,,2.84,1986,44275,1,80120
101,Longmont,CO,Longmont CO,39.9688224,-105.2187136,A,,13.05,1984,89919,1,80501
102,Louisville,CO,Louisville CO,39.9688751,-105.1661836,E,3500,4.71,2007,19588,1,80027
103,Loveland,CO,Loveland CO,40.2233476,-105.2859206,T,,14.53,1987,71334,1,80537
104,Lyons,CO,Lyons CO,40.2233476,-105.2859206,F,,10,2018,2148,1,80540
105,Northglenn,CO,Northglenn CO,39.9410696,-104.9789405,A,,2,2004,37499,0.9,80233
106,Parker,CO,Parker CO,39.5080344,-104.8357286,E,4000,7.49,1999,48608,1,80134
107,Pueblo,CO,Pueblo CO,38.2671621,-104.7309511,A,,5.36,2003,108249,1,81001
108,Sheridan,CO,Sheridan CO,39.6459917,-105.035343,D,,3,2005,5874,0.8,80110
109,Silverthorne,CO,Silverthorne CO,39.6528607,-106.1162854,D,,3.33,2020,4673,1,80497
110,Southeast Metro Stormwater Authority,CO,Southeast Metro Stormwater Authority CO,39.5814602,-104.8160962,T,,8.61,2006,,0.5,
111,Wellington,CO,Wellington CO,40.7041781,-105.0223066,D,,5,2008,8516,1,80549
112,Westminster,CO,Westminster CO,39.8934427,-105.146634,T,,6,2001,110945,1,80030
113,Windsor,CO,Windsor CO,40.4753419,-104.990795,R,,6.62,2003,20422,1,80550
114,Woodland Park,CO,Woodland Park CO,38.9978842,-105.0951123,D,,2,1994,7153,1,80863
115,New London,CT,New London CT,41.3317426,-72.1268438,T,,7.5,2018,27569,1,6320
116,Washington,DC,Washington DC,38.8956035,-77.0332126,T,,2.67,,601723,1,20001
117,Lewes,DE,Lewes DE,38.782486,-75.221063,F,,5,2010,2747,1,19958
118,Newark,DE,Newark DE,39.729881,-75.599524,E,1620,3.54,2017,33398,1,19702
119,Wilmington,DE,Wilmington DE,39.729881,-75.599524,T,,7.18,2006,71305,1,19801
120,Alachua County,FL,Alachua County FL,29.6813801,-82.4938953,V ,,,1996,243574,1,
121,Altamonte Springs,FL,Altamonte Springs FL,28.6650275,-81.4635562,E,2492,6.75,1989,41496,1,32701
122,Anna Maria,FL,Anna Maria FL,27.5282164,-82.7467201,E,2254,3.75,2008,1503,1,34216
123,Apopka,FL,Apopka FL,28.7038464,-81.5939843,T,,15,2002,41542,1,32703
124,Atlantic Beach,FL,Atlantic Beach FL,30.3421653,-81.4563902,E,1790,8.39,1991,12655,1,32233
125,Auburndale,FL,Auburndale FL,28.0972407,-81.8698343,F,,0.75,,13675,1,33823
126,Aventura,FL,Aventura FL,25.9531213,-80.1544396,E,1548,2.5,1997,36610,1,
127,Bartow,FL,Bartow FL,27.8982183,-81.8885608,E,2520,3.75,2005,17501,1,33830
128,Bay County,FL,Bay County FL,30.2346529,-85.9720018,D,,3.33,2005,169856,1,
129,Bay Harbor Islands,FL,Bay Harbor Islands FL,25.887485,-80.1573016,E,1548,5,1996,5762,0.8,33154
130,Belle Glade,FL,Belle Glade FL,26.6881352,-80.6840676,V ,,,1998,17667,1,33430
131,Belle Isle,FL,Belle Isle FL,28.4738112,-81.3668191,E,4087,4,2005,6111,1,32619
132,Belleair,FL,Belleair FL,27.9234114,-82.8528986,E,5459,11.92,2012,,0.5,
133,Belleair Beach,FL,Belleair Beach FL,27.9234114,-82.8528986,D,,15,2020,1560,1,
134,Boca Raton,FL,Boca Raton FL,26.5280698,-80.1169694,E,2837,3.11,1993,85329,1,
135,Boynton Beach,FL,Boynton Beach FL,26.5281466,-80.1169694,E,1937,5,1993,68996,1,
136,Bradenton,FL,Bradenton FL,27.4892003,-82.6223119,F,,4.5,1996,50193,1,
137,Bradenton Beach,FL,Bradenton Beach FL,27.4647535,-82.7150785,F,,9.58,2004,1187,1,
138,Brevard County,FL,Brevard County FL,28.3070456,-80.9663439,E,2500,3,1990,543566,1,
139,Callaway,FL,Callaway FL,30.1343739,-85.6256387,F,,1,1991,14493,0.5,
140,Cape Canaveral,FL,Cape Canaveral FL,28.3882309,-80.624272,T,,9,2003,9916,1,32920
141,Cape Coral,FL,Cape Coral FL,26.6475363,-82.1358021,A,,3,2004,157476,1,33904
142,Casselberry,FL,Casselberry FL,28.6544343,-81.3579174,E,2304,8.4,1993,26387,1,32707
143,Charlotte County,FL,Charlotte County FL,26.902657,-82.1398485,F,,2.5,1991,160511,1,
144,Clearwater,FL,Clearwater FL,27.9925295,-82.887482,E,1830,14.15,1991,107784,1,33755
145,Clermont,FL,Clermont FL,28.5347895,-81.7990842,E,3154,5,1990,29126,1,34711
146,Cocoa,FL,Cocoa FL,28.3286305,-80.6596439,E,2166,7,1992,17147,1,32922
147,Cocoa Beach,FL,Cocoa Beach FL,28.325685,-80.623424,E,2900,8.75,2003,11235,1,32931
148,Coconut Creek,FL,Coconut Creek FL,26.2711422,-80.2197714,E,2070,3.87,2004,53915,0.8,33923
149,Collier County,FL,Collier County FL,26.1442224,-81.6693095,V ,,5.62,1991,328134,1,
150,Coral Gables,FL,Coral Gables FL,25.6909205,-80.248463,E,2346,14.73,1993,47783,0.9,33146
151,Cutler Bay,FL,Cutler Bay FL,25.5756653,-80.3764359,E,1548,4,2007,44300,1,
152,Daytona Beach,FL,Daytona Beach FL,29.2103982,-81.1666498,E,1661,8.67,2004,61028,1,32114
153,DeLand,FL,DeLand FL,29.0193739,-81.3580513,E,3100,8.69,2009,27041,1,32724
154,DeBary,FL,DeBary FL,28.8791062,-81.3914339,E,2560,7,2005,19324,0.8,32713
155,Delray Beach,FL,Delray Beach FL,26.4560036,-80.1271933,E,2502,5.33,1990,61209,1,33444
156,Deltona,FL,Deltona FL,28.8922148,-81.2886308,E,3484,6.34,1996,85219,1,32725
157,Doral,FL,Doral FL,25.8186392,-80.3891919,E,1548,4,2005,46789,1,
158,Dundee,FL,Dundee FL,28.0155361,-81.6519874,E,4749,1.2,2003,3764,1,33838
159,Dunedin,FL,Dunedin FL,28.0457868,-82.8642393,E,1708,11.49,2007,35354,1,34698
160,Eagle Lake,FL,Eagle Lake FL,27.9804901,-81.7570956,D,,4,2007,2283,1,33839
161,Edgewater,FL,Edgewater FL,28.95351,-81.0817619,E,2027,12,2004,20761,1,32132
162,El Portal,FL,El Portal FL,25.8549885,-80.2141325,E,1548,3,,2380,0.5,
163,Eustis,FL,Eustis FL,28.8558195,-81.7505163,D,,6,1997,18805,1,32726
164,Fellsmere,FL,Fellsmere FL,27.7610344,-80.6458882,F,,4,2013,3813,1,32948
165,Fernandina Beach,FL,Fernandina Beach FL,30.6551289,-81.4911189,F,,4,2012,11705,1,32034
166,Florida City,FL,Florida City FL,25.44052,-80.4667815,E,1250,2.5,2000,11511,0.9,33034
167,Fort Lauderdale,FL,Fort Lauderdale FL,26.1410956,-80.2156069,T,,12,1992,168528,1,33301
168,Fort Meade,FL,Fort Meade FL,27.7593891,-81.8325924,T,,4.25,1990,5696,1,33841
169,Fort Myers,FL,Fort Myers FL,26.6185654,-81.9723816,E,500,11.52,2009,63512,1,33901
170,Fort Pierce,FL,Fort Pierce FL,27.429376,-80.4095987,E,2186,4.5,2005,41993,1,34945
171,Fort Walton Beach,FL,Fort Walton Beach FL,30.4364483,-86.6973818,E,3200,5,1990,19793,1,32547
172,Frostproof,FL,Frostproof FL,27.7479194,-81.548355,F,,3,1997,3030,1,33843
173,Fruitland Park,FL,Fruitland Park FL,28.8590515,-81.93098,F,,2,2005,4132,1,34731
174,Gainesville,FL,Gainesville FL,29.6864012,-82.3897859,E,2300,9.45,1988,125326,1,32601
175,Golden Beach,FL,Golden Beach FL,25.9659055,-80.1303598,E,8000,35,1993,940,0.8,33160
176,Grant-Valkaria,FL,Grant-Valkaria FL,27.932747,-80.5594474,E,2500,3,2008,3851,0.87,32949
177,Green Cove Springs,FL,Green Cove Springs FL,29.9845075,-81.7507437,F,,3.5,2013,8313,1,32043
178,Gulf Breeze,FL,Gulf Breeze FL,30.3612809,-87.2318797,E,4450,5.07,2006,5870,1,32561
179,Gulfport,FL,Gulfport FL,27.7461951,-82.7435344,E,2300,3.21,1995,12041,0.5,
180,Haines City,FL,Haines City FL,28.1239447,-81.6465855,T,,,2002,20807,1,33844
181,Hallandale Beach,FL,Hallandale Beach FL,25.9855589,-80.1744644,E,958,3.35,1980,37800,0.8,33009
182,Hernando County,FL,Hernando County FL,28.5643286,-82.5565378,-,,,2003,173094,1,
183,Hialeah,FL,Hialeah FL,25.909809,-80.388874,E,1664,2.5,1998,229969,1,33018
184,Hialeah Gardens,FL,Hialeah Gardens FL,25.890724,-80.3540215,E,1267,2,1996,19297,0.9,33016
185,Hillsborough County,FL,Hillsborough County FL,27.8722885,-82.7190251,E ,,3.5,1989,1267775,1,
186,Holly Hill,FL,Holly Hill FL,29.2447414,-81.048675,E,2050,7,1997,11663,0.9,32117
187,Hollywood,FL,Hollywood FL,26.039599,-80.2454178,E,2250,3.22,1993,143357,1,33019
188,Homestead,FL,Homestead FL,25.469778,-80.452848,E,2000,3.37,1992,61940,0.9,33031
189,Indian Creek Village,FL,Indian Creek Village FL,25.878391,-80.1447088,E,1548,4,1999,88,0.8,33139
190,Indian Harbor Beach,FL,Indian Harbor Beach FL,28.1553124,-80.6141345,E,2500,3,,8228,0.5,
191,Jacksonville,FL,Jacksonville FL,30.3452116,-81.8231907,E,3100,5,2007,827908,1,32201
192,Jacksonville Beach,FL,Jacksonville Beach FL,30.2799549,-81.4440513,E,1541,5,1990,21523,1,32250
193,Jupiter,FL,Jupiter FL,26.9266983,-80.1883772,E,2651,5.33,1994,55911,1,33458
194,Key Biscayne,FL,Key Biscayne FL,25.6922984,-80.1669635,E,1083,7.5,1993,12637,0.9,33149
195,Key West,FL,Key West FL,24.564635,-81.8156475,E,1400,7.35,2001,24909,1,33040
196,Kissimmee,FL,Kissimmee FL,28.2992861,-81.4350019,E,2404,7.38,1989,61346,1,34741
197,Lake Alfred,FL,Lake Alfred FL,28.1115315,-81.7603934,T,,2,1999,5077,1,33850
198,Lake Mary,FL,Lake Mary FL,28.7564689,-81.3717954,E,4576,4,,13900,1,32746
199,Lake Worth,FL,Lake Worth FL,26.6203117,-80.0762181,E,1748,5.8,1993,35306,1,33454
200,Lakeland,FL,Lakeland FL,28.0625693,-82.0173993,E,5000,6,1999,98589,1,33801
201,Largo,FL,Largo FL,27.909233,-82.8058658,E,2257,6.65,1989,77723,1,33770
202,Lauderdale Lakes,FL,Lauderdale Lakes FL,26.1685264,-80.2188865,E,2133,4.57,1997,33191,0.8,33313
203,Lauderdale-by-the-Sea,FL,Lauderdale-by-the-Sea FL,26.2006604,-80.0937655,E,4472,3.5,2004,6168,0.9,33308
204,Lauderhill,FL,Lauderhill FL,26.1575996,-80.2969594,M ,,17.3,,68117,0.8,33313
205,Leesburg,FL,Leesburg FL,28.758895,-81.888695,E,2000,6,1994,20390,1,34748
206,Leon County,FL,Leon County FL,30.4796071,-84.4863443,E,2723,1.67,1991,277971,1,
207,Longwood,FL,Longwood FL,28.699904,-81.3856594,E,2898,6,,13745,1,32750
208,Lynn Haven,FL,Lynn Haven FL,30.2335844,-85.7053237,,,6,1996,20948,1,32444
209,Madeira Beach,FL,Madeira Beach FL,27.795549,-82.8280449,E,1249,5,,4267,0.5,
210,Maitland,FL,Maitland FL,28.6255191,-81.4394908,E,2532,9.6,2008,16076,1,32751
211,Malabar,FL,Malabar FL,27.9907728,-80.59629,E,2500,3,1992,2758,1,32950
212,Manatee County,FL,Manatee County FL,27.4274592,-82.578773,V ,,,1991,327142,1,
213,Marathon,FL,Marathon FL,24.7328245,-81.1646818,E,4769,10,2005,8387,1,33050
214,Margate,FL,Margate FL,26.2423361,-80.2119035,E,2382,8.25,1993,54270,0.9,33063
215,Marion County,FL,Marion County FL,29.2410352,-82.3676422,E,2275,1.25,,332529,1,
216,Martin County,FL,Martin County FL,27.1104201,-80.5942804,E,3428,,2009,147495,1,
217,Medley,FL,Medley FL,25.8641918,-80.3735064,E,1487,3,1991,857,0.5,33803
218,Melbourne,FL,Melbourne FL,28.0655614,-80.57763,E,2500,3,1999,76095,1,32901
219,Melbourne Beach,FL,Melbourne Beach FL,28.0655614,-80.57763,E,2500,3,2000,3102,1,32951
220,Miami Beach,FL,Miami Beach FL,25.8103146,-80.1751609,E,791,9.06,1996,89840,1,33239
221,Miami Gardens,FL,Miami Gardens FL,25.9422809,-80.3154474,E,1800,6,2006,109680,0.8,33017
222,Miami Shores,FL,Miami Shores FL,25.8679715,-80.185456,E,2466,3.75,2000,10720,0.9,33138
223,Miami Springs,FL,Miami Springs FL,25.8210214,-80.2823705,F,,3.67,1993,14129,0.9,33166
224,Miami-Dade County,FL,Miami-Dade County FL,25.5587799,-80.7383622,E,1548,5,2004,408750,1,33234
225,Milton,FL,Milton FL,30.6282828,-87.0883449,V ,,,2008,8984,1,32570
226,Minneola,FL,Minneola FL,28.5904176,-81.7593985,E,3050,4,2001,9531,1,34755
227,Miramar,FL,Miramar FL,25.9760691,-80.323403,F,,7,1998,124302,0.9,33023
228,Mount Dora,FL,Mount Dora FL,28.8187954,-81.7103172,E,2500,5,,12534,1,32756
229,Mulberry,FL,Mulberry FL,27.9135991,-82.0167424,E,3250,4,,3867,1,33860
230,Naples,FL,Naples FL,26.1449028,-81.8295594,E,1934,13.93,1994,19939,1,34101
231,Neptune Beach,FL,Neptune Beach FL,30.3157753,-81.4552618,E,3164,3,2002,7090,1,32266
232,New Port Richey,FL,New Port Richey FL,28.2470306,-82.7536269,E,2629,6.66,2001,14961,1,34652
233,New Smyrna Beach,FL,New Smyrna Beach FL,29.0294718,-81.0949919,E,1818,7,1995,22481,1,32168
234,Niceville,FL,Niceville FL,30.5224243,-86.5490763,T,,4.51,2004,12941,1,32578
235,North Bay Village,FL,North Bay Village FL,25.8494236,-80.1524681,D,,7.72,1994,7305,0.9,33141
236,North Lauderdale,FL,North Lauderdale FL,26.2082974,-80.2198714,E,2138,6,1995,41782,0.9,33308
237,North Miami,FL,North Miami FL,25.9055714,-80.1771054,E,1760,6.19,1998,60143,0.9,33161
238,North Miami Beach,FL,North Miami Beach FL,25.9286295,-80.1693688,E,1800,4.6,1992,42504,0.9,33160
239,North Redington Beach,FL,North Redington Beach FL,27.8189214,-82.8404125,E,1687,,,1418,0.8,33708
240,Oakland Park,FL,Oakland Park FL,26.1800865,-80.1567049,E,1507,6,1989,42126,0.9,33334
241,Ocala,FL,Ocala FL,29.1739558,-82.1918274,E,1948,6.39,1988,56517,1,34470
242,Ocoee,FL,Ocoee FL,28.570397,-81.6058122,E,2054,7,,36320,1,34761
243,Oldsmar,FL,Oldsmar FL,28.0489373,-82.7153279,E,2550,3,1998,13618,1,34677
244,Opa-Locka,FL,Opa-Locka FL,25.8969423,-80.2517736,E,1548,6,,15579,0.9,33054
245,Orange County,FL,Orange County FL,28.5666366,-81.4008373,V ,,,1996,1169107,1,
246,Orlando,FL,Orlando FL,28.4813061,-81.4127051,E,2000,9.99,1989,243195,1,32801
247,Ormond Beach,FL,Ormond Beach FL,29.3075332,-81.146337,E,3000,7,1987,38153,1,32174
248,Oviedo,FL,Oviedo FL,28.6593806,-81.2053975,E,2464,7,1993,33528,1,32762
249,Palm Bay,FL,Palm Bay FL,27.9868171,-80.7929726,E,4602,14.76,2010,103227,1,32905
250,Palm Coast,FL,Palm Coast FL,29.5330742,-81.2969482,E,3432,15.55,2004,76499,1,32135
251,Palm Springs,FL,Palm Springs FL,26.6396932,-80.1145905,,,,2015,18928,0.8,33461
252,Palmetto,FL,Palmetto FL,27.5278411,-82.6111009,IA,,14.12,1999,12774,1,34221
253,Panama City,FL,Panama City FL,30.2038363,-85.6734463,V ,,6.66,1991,36686,1,32401
254,Pasco County,FL,Pasco County FL,28.3246353,-82.6215879,E,2890,7.92,2007,466457,1,
255,Pembroke Park,FL,Pembroke Park FL,25.9846778,-80.1995996,E,1548,2,1996,6214,0.8,33009
256,Pensacola,FL,Pensacola FL,30.4368552,-87.2627838,E,2998,6.02,2001,52197,1,32501
257,Pinecrest,FL,Pinecrest FL,25.6677776,-80.3419613,E,1548,10,2002,18657,0.8,33156
258,Pinellas County,FL,Pinellas County FL,27.8921332,-83.0049481,E,2339,9.81,2013,929048,1,
259,Plant City,FL,Plant City FL,28.0254403,-82.1567024,E,2280,5.5,2004,35817,1,33564
260,Plantation,FL,Plantation FL,26.1266785,-80.2638915,E,4489,2.5,2012,86524,0.9,33317
261,Polk City,FL,Polk City FL,28.1806776,-81.8394817,E,4030,4.53,2012,1580,1,33868
262,Polk County,FL,Polk County FL,28.0028753,-81.8988246,-,,,2012,609492,1,
263,Pompano Beach,FL,Pompano Beach FL,26.2517259,-80.2071568,E,2880,3,1997,78191,1,33060
264,Port Orange,FL,Port Orange FL,29.1011589,-81.0864021,E,3050,9.58,1993,45823,1,32129
265,Port Saint Lucie,FL,Port Saint Lucie FL,27.2899128,-80.5030116,T,,,1988,88769,1,34952
266,Redington Beach,FL,Redington Beach FL,27.8097625,-82.8133106,F,,7.5,,1539,0.9,33708
267,Riviera Beach,FL,Riviera Beach FL,26.7885845,-80.074821,E,1920,4.5,2003,29884,0.9,33404
268,Rockledge,FL,Rockledge FL,28.3136895,-80.8069358,E,2922,5,2000,20170,1,32955
269,Royal Palm Beach,FL,Royal Palm Beach FL,26.7009662,-80.2585269,E,2723,5.5,2012,31864,1,33411
270,Safety Harbor,FL,Safety Harbor FL,28.0136725,-82.7288059,E,1865,10.3,,16884,1,34695
271,Saint Augustine,FL,Saint Augustine FL,29.9064674,-81.3754512,E,2752,8,1993,14280,1,32084
272,Saint Cloud,FL,Saint Cloud FL,28.2205117,-81.3060878,E,2664,6.35,2007,20074,1,34769
