No. ,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU,Fee,Year_Created,Population,geo_Accuracy Score,geo_Zipcode
1688,Sultan,WA,Sultan WA,47.8731967,-121.8364113,ERU,4519,10.29,,4183,1,
1698,Vancouver,WA,Vancouver WA,45.6382916,-122.7589678,ERU,2500,10.13,1994,157493,1,
213,Marathon,FL,Marathon FL,24.7328245,-81.1646818,ERU,4769,10,2005,8387,1,33050
257,Pinecrest,FL,Pinecrest FL,25.6677776,-80.3419613,ERU,1548,10,2002,18657,0.8,33156
279,Sebastian,FL,Sebastian FL,27.792114,-80.5152619,ERU,3285,10,2001,20339,1,32958
291,Tavares,FL,Tavares FL,28.7869979,-81.8052422,ERU,3000,10,,14248,1,32778
1244,Allentown,PA,Allentown PA,40.5931867,-75.5538597,ERU,500,10,2018,120207,1,18101
1280,Monroeville,PA,Monroeville PA,40.4243167,-79.7966878,ERU,2385,10,2018,28445,1,15146
1309,Charleston,SC,Charleston SC,32.8212559,-80.1105615,ERU,2200,10,1994,122689,1,29401
1639,Liberty Lake,WA,Liberty Lake WA,47.6698923,-117.1736878,ERU,3160,10,2003,4660,1,
1796,Pewaukee,WI,Pewaukee WI,43.0613815,-88.3148536,ERU,2010,10,2010,13195,1,53072
246,Orlando,FL,Orlando FL,28.4813061,-81.4127051,ERU,2000,9.99,1989,243195,1,32801
1538,Spanish Fork,UT,Spanish Fork UT,40.1621551,-111.6800422,ERU,3956,9.82,,20246,1,84660
258,Pinellas County,FL,Pinellas County FL,27.8921332,-83.0049481,ERU,2339,9.81,2013,929048,1,
210,Maitland,FL,Maitland FL,28.6255191,-81.4394908,ERU,2532,9.6,2008,16076,1,32751
264,Port Orange,FL,Port Orange FL,29.1011589,-81.0864021,ERU,3050,9.58,1993,45823,1,32129
532,Bargersville,IN,Bargersville IN,39.5417485,-86.2648058,ERU,2350,9.46,2005,2120,1,46106
174,Gainesville,FL,Gainesville FL,29.6864012,-82.3897859,ERU,2300,9.45,1988,125326,1,32601
1761,Kimberly,WI,Kimberly WI,44.2654369,-88.3558385,ERU,3350,9.17,2006,6508,1,
220,Miami Beach,FL,Miami Beach FL,25.8103146,-80.1751609,ERU,791,9.06,1996,89840,1,33239
1325,Hilton Head Island,SC,Hilton Head Island SC,32.1836148,-80.8174359,ERU,4906,9.06,2001,33862,1,29925
280,South Daytona,FL,South Daytona FL,29.1671041,-81.003713,ERU,2000,9,1989,13177,0.9,32121
1248,Borough of Dormont,PA,Borough of Dormont PA,40.3946654,-80.0396798,ERU,,9,2015,8593,0.5,17981
1292,Silver Spring Township,PA,Silver Spring Township PA,40.2498532,-77.0914674,ERU,4000,9,2019,13657,1,17575
1343,Tega Cay,SC,Tega Cay SC,35.0379528,-81.0502053,ERU,3500,9,,7773,0.8,29715
147,Cocoa Beach,FL,Cocoa Beach FL,28.325685,-80.623424,ERU,2900,8.75,2003,11235,1,32931
153,DeLand,FL,DeLand FL,29.0193739,-81.3580513,ERU,3100,8.69,2009,27041,1,32724
708,Montgomery County,MD,Montgomery County MD,39.144105,-77.3481781,ERU,2406,8.69,2002,873341,1,
152,Daytona Beach,FL,Daytona Beach FL,29.2103982,-81.1666498,ERU,1661,8.67,2004,61028,1,32114
1803,Racine,WI,Racine WI,42.7298012,-87.8528594,ERU,2844,8.52,2004,78860,1,53401
542,Centerville,IN,Centerville IN,39.8195112,-85.0094931,ERU,3536,8.5,2004,2624,1,47330
300,West Palm Beach,FL,West Palm Beach FL,26.7420741,-80.1990798,ERU,2171,8.48,,82103,1,33401
142,Casselberry,FL,Casselberry FL,28.6544343,-81.3579174,ERU,2304,8.4,1993,26387,1,32707
124,Atlantic Beach,FL,Atlantic Beach FL,30.3421653,-81.4563902,ERU,1790,8.39,1991,12655,1,32233
284,Sunrise,FL,Sunrise FL,26.1479001,-80.3664893,ERU,1884,8.36,1997,85779,0.8,33313
287,Tallahassee,FL,Tallahassee FL,30.4670647,-84.3969392,ERU,1990,8.35,1986,150624,1,32301
681,Chicopee,MA,Chicopee MA,42.1711211,-72.6413195,ERU,2000,8.33,1998,54653,1,
214,Margate,FL,Margate FL,26.2423361,-80.2119035,ERU,2382,8.25,1993,54270,0.9,33063
1768,Little Chute,WI,Little Chute WI,44.2903451,-88.3551078,ERU,2752,8.25,1998,10514,1,54140
292,Tequesta,FL,Tequesta FL,26.9608917,-80.1352785,ERU,2507,8.23,,5273,0.8,33469
1308,Bluffton,SC,Bluffton SC,32.2087304,-81.0013042,ERU,4906,8.17,2001,12734,1,29910
271,Saint Augustine,FL,Saint Augustine FL,29.9064674,-81.3754512,ERU,2752,8,1993,14280,1,32084
508,Highland Park,IL,Highland Park IL,42.1878203,-87.8407448,ERU,2765,8,,31614,1,60035
620,West Layfayette,IN,West Layfayette IN,40.4526508,-86.9518622,ERU,3200,8,2013,30419,1,47906
676,Bellingham,MA,Bellingham MA,42.0765087,-71.5421728,ERU,3025,8,2020,17182,1,
1245,Baldwin Borough,PA,Baldwin Borough PA,40.3710131,-80.0082489,ERU,2200,8,2021,19752,0.5,
1282,Mount Lebanon,PA,Mount Lebanon PA,40.3765791,-80.0858933,ERU,2400,8,2011,33137,1,17042
1287,North Middleton Township,PA,North Middleton Township PA,40.2437554,-77.2871946,ERU,3100,8,2020,11649,0.8,15757
1288,O'Hara Township,PA,O'Hara Township PA,40.5099993,-79.9109564,ERU,3200,8,2020,8892,1,
1300,Whitehall Borough,PA,Whitehall Borough PA,40.3616791,-80.0233434,ERU,2800,8,2014,13648,0.8,17821
1334,North Myrtle Beach,SC,North Myrtle Beach SC,33.825091,-78.8299731,ERU,3500,8,2005,14118,1,29582
1633,Kitsap County,WA,Kitsap County WA,47.6880927,-123.009481,ERU,4200,8,1994,231969,1,
1832,Waupun,WI,Waupun WI,43.6302128,-88.7739008,ERU,3204,8,2005,11340,1,53963
254,Pasco County,FL,Pasco County FL,28.3246353,-82.6215879,ERU,2890,7.92,2007,466457,1,
1397,Celina,TX,Celina TX,33.3287558,-96.8740005,ERU,5000,7.9,2016,6744,1,75009
1702,Wenatchee,WA,Wenatchee WA,47.4282527,-120.3657813,ERU,3000,7.86,1995,27856,1,
411,Clive,IA,Clive IA,41.6200832,-93.8651199,ERU,3667,7.83,2005,15000,1,50325
517,Peoria,IL,Peoria IL,40.7480158,-89.6924275,ERU,2600,7.8,2017,114265,1,61601
1272,Lancaster,PA,Lancaster PA,40.0400359,-76.3353683,ERU,1000,7.74,2014,59325,1,17601
276,Sanford,FL,Sanford FL,28.7869883,-81.3097038,ERU,2126,7.63,1991,38291,1,32771
277,Sarasota County,FL,Sarasota County FL,27.1677329,-82.5210514,ERU,3153,7.55,1989,325957,1,
194,Key Biscayne,FL,Key Biscayne FL,25.6922984,-80.1669635,ERU,1083,7.5,1993,12637,0.9,33149
622,Whiteland,IN,Whiteland IN,39.5511982,-86.1205247,ERU,3704,7.5,2010,4169,1,46184
707,Howard County,MD,Howard County MD,39.236328,-77.082304,ERU,3000,7.5,2013,293142,0.8,
1279,Meadville,PA,Meadville PA,41.6488249,-80.1824029,ERU,2660,7.5,2012,13616,1,16335
1385,Arlington,TX,Arlington TX,32.7020541,-97.2754967,ERU,2800,7.5,1994,373698,1,76001
1709,Allouez,WI,Allouez WI,44.4716779,-88.0613722,ERU,3663,7.5,2006,14126,0.5,
106,Parker,CO,Parker CO,39.5080344,-104.8357286,ERU,4000,7.49,1999,48608,1,80134
1349,Belle Meade,TN,Belle Meade TN,36.0978733,-86.8741565,ERU,12200,7.47,2010,2881,0.8,37801
1208,Independence,OR,Independence OR,44.8547644,-123.2315449,ERU,3250,7.41,2011,8650,1,97351
196,Kissimmee,FL,Kissimmee FL,28.2992861,-81.4350019,ERU,2404,7.38,1989,61346,1,34741
1233,Silverton,OR,Silverton OR,45.0024953,-122.8127044,ERU,,7.38,,9222,1,97381
195,Key West,FL,Key West FL,24.564635,-81.8156475,ERU,1400,7.35,2001,24909,1,33040
1550,Chesapeake,VA,Chesapeake VA,36.7086912,-76.4186083,ERU,2112,7.35,1992,222209,1,23320
1827,Union Grove,WI,Union Grove WI,42.6873427,-88.0877234,ERU,4000,7.28,2009,4884,1,53182
1306,Beaufort County,SC,Beaufort County SC,32.3908754,-80.9412092,ERU,4906,7.25,2005,164684,1,
1666,Port Townsend,WA,Port Townsend WA,48.1211481,-122.8176215,ERU,3000,7.25,1987,9113,1,
1055,Bucyrus,OH,Bucyrus OH,40.8077682,-83.0052714,ERU,2506,7.2,2000,12253,1,
1537,South Jordan,UT,South Jordan UT,40.559539,-112.0180478,ERU,4752,7.15,2011,55934,1,84095
82,Castle Rock,CO,Castle Rock CO,39.3736497,-104.9109981,ERU,3255,7.12,2002,48231,1,80104
146,Cocoa,FL,Cocoa FL,28.3286305,-80.6596439,ERU,2166,7,1992,17147,1,32922
154,DeBary,FL,DeBary FL,28.8791062,-81.3914339,ERU,2560,7,2005,19324,0.8,32713
186,Holly Hill,FL,Holly Hill FL,29.2447414,-81.048675,ERU,2050,7,1997,11663,0.9,32117
233,New Smyrna Beach,FL,New Smyrna Beach FL,29.0294718,-81.0949919,ERU,1818,7,1995,22481,1,32168
242,Ocoee,FL,Ocoee FL,28.570397,-81.6058122,ERU,2054,7,,36320,1,34761
247,Ormond Beach,FL,Ormond Beach FL,29.3075332,-81.146337,ERU,3000,7,1987,38153,1,32174
248,Oviedo,FL,Oviedo FL,28.6593806,-81.2053975,ERU,2464,7,1993,33528,1,32762
1247,Borough of Carlisle,PA,Borough of Carlisle PA,40.2001052,-77.2439197,ERU,2410,7,2017,19259,1,17013
1277,Lower Swatara Township,PA,Lower Swatara Township PA,40.2167214,-76.8312911,ERU,3750,7,2019,8268,1,17948
1506,Bountiful City,UT,Bountiful City UT,40.8722071,-111.9269902,ERU,3828,7,,41301,1,84010
1668,Pullman,WA,Pullman WA,46.7305753,-117.222298,ERU,3500,7,2009,29799,1,
350,Gwinnett County,GA,Gwinnett County GA,33.960546,-84.1780464,ERU,100,6.97,2006,588448,1,
1239,Tualatin,OR,Tualatin OR,45.3759638,-122.8398706,ERU,2640,6.96,,26558,1,97062
1163,Broken Arrow,OK,Broken Arrow OK,36.0185999,-95.7776698,ERU,2650,6.86,2002,100073,1,
289,Tampa,FL,Tampa FL,27.9947147,-82.5943644,ERU,3310,6.83,2003,303447,1,33601
404,Cedar Rapids,IA,Cedar Rapids IA,41.9650539,-91.8027593,ERU,4356,6.82,,126326,1,52401
422,Dubuque,IA,Dubuque IA,42.4844238,-90.870006,ERU,2917,6.81,2003,57686,1,52001
1831,Watertown,WI,Watertown WI,43.1930318,-88.7997865,ERU,2900,6.77,2005,22824,1,53094
121,Altamonte Springs,FL,Altamonte Springs FL,28.6650275,-81.4635562,ERU,2492,6.75,1989,41496,1,32701
993,Lowell,NC,Lowell NC,35.2695947,-81.120541,ERU,2827,6.75,2021,3526,1,
1237,Tigard,OR,Tigard OR,45.4248424,-122.8002374,ERU,2640,6.75,,49011,0.9,97224
1241,Washington County,OR,Washington County OR,45.5487549,-123.394946,ERU,2640,6.75,,540410,1,
1128,Piqua,OH,Piqua OH,40.1490641,-84.3119641,ERU,5400,6.7,2009,20592,1,
1271,Jonestown,PA,Jonestown PA,40.412321,-76.4893917,ERU,3100,6.67,2012,1931,1,17038
232,New Port Richey,FL,New Port Richey FL,28.2470306,-82.7536269,ERU,2629,6.66,2001,14961,1,34652
201,Largo,FL,Largo FL,27.909233,-82.8058658,ERU,2257,6.65,1989,77723,1,33770
1833,Wauwatosa,WI,Wauwatosa WI,43.067711,-88.025547,ERU,2174,6.56,1999,47271,0.9,53213
273,Saint Johns County,FL,Saint Johns County FL,29.9373902,-81.7008258,ERU,3000,6.5,1994,123135,1,32259
1071,East Liverpool,OH,East Liverpool OH,40.6341981,-80.6289167,ERU,7773,6.5,2018,10691,1,
1391,Benbrook,TX,Benbrook TX,32.6853499,-97.5268988,ERU,3186,6.5,2007,21715,0.5,
1834,West Allis,WI,West Allis WI,43.0041465,-88.0225134,ERU,1827,6.43,1997,61254,0.9,53214
353,Hinesville,GA,Hinesville GA,31.8282316,-81.6485884,ERU,2635,6.42,,30392,1,31310
312,Augusta,GA,Augusta GA,33.3857258,-82.3711058,ERU,2200,6.4,2015,197872,1,30901
1238,Troutdale,OR,Troutdale OR,45.5361267,-122.4338687,ERU,2700,6.4,,16244,1,97060
241,Ocala,FL,Ocala FL,29.1739558,-82.1918274,ERU,1948,6.39,1988,56517,1,34470
272,Saint Cloud,FL,Saint Cloud FL,28.2205117,-81.3060878,ERU,2664,6.35,2007,20074,1,34769
156,Deltona,FL,Deltona FL,28.8922148,-81.2886308,ERU,3484,6.34,1996,85219,1,32725
1275,Lower Allen Township,PA,Lower Allen Township PA,40.2003655,-76.9964441,ERU,3115,6.33,2019,19338,0.8,17011
1321,Greenville,SC,Greenville SC,34.8332339,-82.3978499,ERU,2389,6.26,1995,56002,1,29601
693,Westford,MA,Westford MA,42.5902411,-71.5118414,ERU,3500,6.25,2019,24310,1,
1331,Myrtle Beach,SC,Myrtle Beach SC,33.7198685,-78.9488473,ERU,5000,6.25,1999,22759,1,29572
237,North Miami,FL,North Miami FL,25.9055714,-80.1771054,ERU,1760,6.19,1998,60143,0.9,33161
1839,Whitewater,WI,Whitewater WI,42.8347046,-88.7551406,ERU,3850,6.17,2007,14769,1,53190
256,Pensacola,FL,Pensacola FL,30.4368552,-87.2627838,ERU,2998,6.02,2001,52197,1,32501
200,Lakeland,FL,Lakeland FL,28.0625693,-82.0173993,ERU,5000,6,1999,98589,1,33801
205,Leesburg,FL,Leesburg FL,28.758895,-81.888695,ERU,2000,6,1994,20390,1,34748
207,Longwood,FL,Longwood FL,28.699904,-81.3856594,ERU,2898,6,,13745,1,32750
221,Miami Gardens,FL,Miami Gardens FL,25.9422809,-80.3154474,ERU,1800,6,2006,109680,0.8,33017
236,North Lauderdale,FL,North Lauderdale FL,26.2082974,-80.2198714,ERU,2138,6,1995,41782,0.9,33308
240,Oakland Park,FL,Oakland Park FL,26.1800865,-80.1567049,ERU,1507,6,1989,42126,0.9,33334
244,Opa-Locka,FL,Opa-Locka FL,25.8969423,-80.2517736,ERU,1548,6,,15579,0.9,33054
483,Urbandale,IA,Urbandale IA,41.643682,-93.9249662,ERU,3200,6,2010,40311,1,50322
506,Eureka,IL,Eureka IL,40.7160377,-89.3170642,ERU,3250,6,2015,5295,1,61530
531,Avon,IN,Avon IN,39.7597237,-86.4214393,ERU,,6,2017,16960,1,46123
556,Dyer,IN,Dyer IN,41.4944653,-87.5239165,ERU,4343,6,1991,13895,1,46311
623,Winfield,IN,Winfield IN,41.4093034,-87.328385,ERU,4343,6,2010,4530,0.8,46307
657,Shawnee,KS,Shawnee KS,39.0129707,-95.8481135,ERU,2773,6,2004,64680,1,
969,Fayetteville,NC,Fayetteville NC,35.0747964,-79.0222712,ERU,2266,6,2004,200564,1,28301
1078,Galion,OH,Galion OH,40.7385915,-82.8363222,ERU,2650,6,2001,10416,1,
1105,Marysville,OH,Marysville OH,40.2299589,-83.4189202,ERU,2700,6,2004,22288,1,
1114,Mount Vernon,OH,Mount Vernon OH,40.3786725,-82.5437591,ERU,2900,6,2019,16659,1,
1283,New Castle,PA,New Castle PA,40.992977,-80.3917414,ERU,2500,6,,22142,1,16101
1284,New Sewickley Township,PA,New Sewickley Township PA,40.7229425,-80.2737195,ERU,6800,6,2020,7197,1,15205
1318,Fort Mill,SC,Fort Mill SC,34.99805,-81.0081253,ERU,3473,6,,,1,29708
1333,North Charleston,SC,North Charleston SC,32.9133586,-80.1598147,ERU,2900,6,2003,79641,1,29405
1361,Hendersonville,TN,Hendersonville TN,36.3082514,-86.7378709,ERU,3930,6,2018,57050,1,37075
1405,Corinth,TX,Corinth TX,33.141519,-97.102076,ERU,3900,6,,20662,0.8,75831
1504,American Fork,UT,American Fork UT,40.3777855,-111.83501,ERU,,6,1997,32519,1,84003
1552,Christiansburg,VA,Christiansburg VA,37.1447113,-80.4539988,ERU,3030,6,2016,21533,1,24068
1585,Asotin County,WA,Asotin County WA,46.2289772,-117.4780222,ERU,3700,6,2010,21933,1,
1770,Manitowoc,WI,Manitowoc WI,44.1025149,-87.7608115,ERU,3167,6,2007,34053,1,54220
199,Lake Worth,FL,Lake Worth FL,26.6203117,-80.0762181,ERU,1748,5.8,1993,35306,1,33454
1178,Sand Springs,OK,Sand Springs OK,36.0029439,-96.2635699,ERU,2650,5.8,,19140,1,
340,Dunwoody,GA,Dunwoody GA,33.943031,-84.3065274,ERU,3000,5.75,2009,46267,0.9,30338
1158,Wooster,OH,Wooster OH,40.8070067,-82.0033807,ERU,3050,5.75,1985,26139,1,
1539,Springville,UT,Springville UT,40.1621551,-111.6800422,ERU,3800,5.66,2007,25998,1,84663
290,Tarpon Springs,FL,Tarpon Springs FL,28.1462037,-82.8448678,ERU,1945,5.65,1992,21003,1,34688
1004,New Hanover County,NC,New Hanover County NC,34.0883302,-78.1327817,ERU,,5.65,2019,,1,
302,Wilton Manors,FL,Wilton Manors FL,26.1586121,-80.1391665,ERU,3460,5.58,1992,12697,0.9,33334
1242,West Linn,OR,West Linn OR,45.313043,-122.8076681,ERU,2914,5.58,,25392,1,97068
1542,West Jordan,UT,West Jordan UT,40.6031855,-112.0318079,ERU,10890,5.58,2011,68336,1,84084
442,Johnston,IA,Johnston IA,41.6919882,-93.7856245,ERU,4000,5.55,2012,17278,1,50131
259,Plant City,FL,Plant City FL,28.0254403,-82.1567024,ERU,2280,5.5,2004,35817,1,33564
269,Royal Palm Beach,FL,Royal Palm Beach FL,26.7009662,-80.2585269,ERU,2723,5.5,2012,31864,1,33411
306,Winter Springs,FL,Winter Springs FL,28.6939609,-81.3377034,ERU,2123,5.5,1992,31666,1,32708
388,Ankeny,IA,Ankeny IA,41.7144287,-93.6764075,ERU,4000,5.5,,45582,1,50015
1227,Roseburg,OR,Roseburg OR,43.2212697,-123.4065301,ERU,3000,5.5,,21790,1,97470
1250,Brighton Township,PA,Brighton Township PA,40.7033444,-80.4303951,ERU,4700,5.5,2018,8369,0.5,17268
1281,Moon Township,PA,Moon Township PA,40.5058518,-80.2808384,ERU,3800,5.5,2020,25580,0.8,15108
155,Delray Beach,FL,Delray Beach FL,26.4560036,-80.1271933,ERU,2502,5.33,1990,61209,1,33444
193,Jupiter,FL,Jupiter FL,26.9266983,-80.1883772,ERU,2651,5.33,1994,55911,1,33458
298,West Melbourne,FL,West Melbourne FL,28.0696113,-80.7493755,ERU,2500,5.33,1992,9824,0.8,32901
672,Radcliff,KY,Radcliff KY,37.8117107,-86.00273,ERU,2800,5.26,2003,21961,1,
1243,Wilsonville,OR,Wilsonville OR,45.313043,-122.8076681,ERU,2750,5.25,,19715,1,97070
1313,Conway,SC,Conway SC,33.8440582,-79.1178172,ERU,2700,5.25,2003,17513,1,29526
721,Berkley,MI,Berkley MI,42.5487221,-83.2529758,ERU,2600,5.18,2001,15531,1,
548,Connersville,IN,Connersville IN,39.6700187,-85.1790903,ERU,2662,5.15,,15411,1,47331
303,Winter Garden,FL,Winter Garden FL,28.5461539,-81.6419195,ERU,4077,5.13,2006,14351,1,34778
947,Asheville,NC,Asheville NC,35.5391304,-82.7054889,ERU,2442,5.1,2004,84458,1,28801
1301,Wyoming Valley,PA,Wyoming Valley PA,41.4495055,-76.1335865,ERU,1000,5.1,2018,68900,1,18644
178,Gulf Breeze,FL,Gulf Breeze FL,30.3612809,-87.2318797,ERU,4450,5.07,2006,5870,1,32561
129,Bay Harbor Islands,FL,Bay Harbor Islands FL,25.887485,-80.1573016,ERU,1548,5,1996,5762,0.8,33154
135,Boynton Beach,FL,Boynton Beach FL,26.5281466,-80.1169694,ERU,1937,5,1993,68996,1,
145,Clermont,FL,Clermont FL,28.5347895,-81.7990842,ERU,3154,5,1990,29126,1,34711
171,Fort Walton Beach,FL,Fort Walton Beach FL,30.4364483,-86.6973818,ERU,3200,5,1990,19793,1,32547
191,Jacksonville,FL,Jacksonville FL,30.3452116,-81.8231907,ERU,3100,5,2007,827908,1,32201
192,Jacksonville Beach,FL,Jacksonville Beach FL,30.2799549,-81.4440513,ERU,1541,5,1990,21523,1,32250
209,Madeira Beach,FL,Madeira Beach FL,27.795549,-82.8280449,ERU,1249,5,,4267,0.5,
224,Miami-Dade County,FL,Miami-Dade County FL,25.5587799,-80.7383622,ERU,1548,5,2004,408750,1,33234
228,Mount Dora,FL,Mount Dora FL,28.8187954,-81.7103172,ERU,2500,5,,12534,1,32756
268,Rockledge,FL,Rockledge FL,28.3136895,-80.8069358,ERU,2922,5,2000,20170,1,32955
313,Austell,GA,Austell GA,33.8186861,-84.6781258,ERU,3100,5,,5200,1,30106
386,Altoona,IA,Altoona IA,41.6402272,-93.5474915,ERU,4000,5,2010,10345,1,50009
538,Brazil,IN,Brazil IN,39.5203692,-87.1583082,ERU,3800,5,2021,8380,1,47834
539,Brownsburg,IN,Brownsburg IN,39.9632426,-86.2724664,ERU,2900,5,2006,14520,1,46112
541,Cedar Lake,IN,Cedar Lake IN,41.3672372,-87.50826,ERU,2903,5,2006,9279,1,46303
569,Greenwood,IN,Greenwood IN,39.6041199,-86.172417,ERU,2800,5,2012,51584,1,46142
666,Henderson,KY,Henderson KY,37.8416797,-87.6564351,ERU,3000,5,1998,27373,1,
674,Vine Grove,KY,Vine Grove KY,37.814953,-85.996547,ERU,,5,2020,6310,1,
697,Baltimore,MD,Baltimore MD,39.2848183,-76.6905364,ERU,1050,5,2013,619493,1,
946,Archdale,NC,Archdale NC,35.9025658,-80.0394167,ERU,3163,5,,11415,0.8,27263
1049,Barberton,OH,Barberton OH,41.0088448,-81.6771171,ERU,8668,5,2006,26455,1,
1086,Hillsboro,OH,Hillsboro OH,39.2146192,-83.6471169,ERU,2899,5,2019,6512,1,
1273,Lebanon,PA,Lebanon PA,40.338224,-76.4561319,ERU,1780,5,,25902,1,17042
1290,Plum Borough,PA,Plum Borough PA,40.4974768,-79.8392392,ERU,2500,5,2015,27135,0.8,15239
1296,Upper Allen Township,PA,Upper Allen Township PA,40.1801868,-77.0069053,ERU,3800,5,2018,19857,1,18101
1356,Gallatin,TN,Gallatin TN,36.382359,-86.6093749,ERU,3650,5,2018,30278,1,37066
1398,Cibolo,TX,Cibolo TX,29.5600373,-98.3258712,ERU,2889,5,,15853,1,78108
1501,Wichita Falls,TX,Wichita Falls TX,33.9162356,-98.6594425,ERU,3500,5,2000,104197,1,76301
1799,Poynette,WI,Poynette WI,43.3922131,-89.4452004,ERU,3550,5,2006,2266,1,53955
1053,Brunswick,OH,Brunswick OH,41.2463812,-81.8578198,ERU,3500,4.95,2011,34441,1,
523,Urbana,IL,Urbana IL,40.1153129,-88.2630859,ERU,3100,4.94,2012,41250,1,61801
1819,Stevens Point,WI,Stevens Point WI,44.5308469,-89.6210231,ERU,3364,4.92,,26748,1,54481
668,Lexington/Fayette County,KY,Lexington/Fayette County KY,38.0285173,-84.6116482,ERU,2500,4.9,2009,693604,1,
1560,James City County,VA,James City County VA,37.310642,-76.8868522,ERU,3235,4.9,2007,48102,1,
512,Morton,IL,Morton IL,40.6092503,-89.5042092,ERU,3300,4.88,2005,15757,1,61550
1022,Wallace,NC,Wallace NC,34.7430725,-78.0746592,ERU,2400,4.85,,3880,1,
1136,Sheffield Lake,OH,Sheffield Lake OH,41.490174,-82.1335219,ERU,2275,4.85,1999,9145,1,
1469,Princeton,TX,Princeton TX,33.1968509,-96.5248988,ERU,3950,4.85,2016,9405,1,75407
1649,Montesano,WA,Montesano WA,47.0033997,-123.660817,ERU,3000,4.85,1999,3312,1,
1291,Radnor Township,PA,Radnor Township PA,40.0282035,-75.367711,ERU,1500,4.83,,31531,0.9,19087
1168,Enid,OK,Enid OK,36.3929504,-98.0148684,ERU,5000,4.79,2009,49451,1,
521,Rolling Meadows,IL,Rolling Meadows IL,42.0751747,-88.0657041,ERU,3604,4.76,2001,23682,1,60008
346,Garden City,GA,Garden City GA,32.0870364,-81.2122483,ERU,3000,4.75,2008,11289,0.8,31405
102,Louisville,CO,Louisville CO,39.9688751,-105.1661836,ERU,3500,4.71,2007,19588,1,80027
1063,Columbus,OH,Columbus OH,39.9831302,-83.130912,ERU,2000,4.68,1994,797434,1,
238,North Miami Beach,FL,North Miami Beach FL,25.9286295,-80.1693688,ERU,1800,4.6,1992,42504,0.9,33160
513,Normal,IL,Normal IL,40.5269138,-89.0571695,ERU,3200,4.6,2006,45386,1,61761
1464,New Braunfels,TX,New Braunfels TX,29.7031735,-98.2065207,ERU,2690,4.59,2000,36494,1,78130
202,Lauderdale Lakes,FL,Lauderdale Lakes FL,26.1685264,-80.2188865,ERU,2133,4.57,1997,33191,0.8,33313
673,Sanitation District 1,KY,Sanitation District 1 KY,39.0307124,-84.5340109,ERU,2600,4.54,2003,290000,1,
261,Polk City,FL,Polk City FL,28.1806776,-81.8394817,ERU,4030,4.53,2012,1580,1,33868
170,Fort Pierce,FL,Fort Pierce FL,27.429376,-80.4095987,ERU,2186,4.5,2005,41993,1,34945
267,Riviera Beach,FL,Riviera Beach FL,26.7885845,-80.074821,ERU,1920,4.5,2003,29884,0.9,33404
973,Goldsboro,NC,Goldsboro NC,35.3789262,-78.1185214,ERU,3000,4.5,2017,36437,1,27530
1127,Pickerington,OH,Pickerington OH,39.8963716,-82.8024658,ERU,2530,4.5,2001,18408,1,
1154,Wadsworth,OH,Wadsworth OH,41.0312452,-81.8029846,ERU,3500,4.5,2005,21683,1,
1176,Owasso,OK,Owasso OK,36.293051,-95.9449613,ERU,3000,4.5,,29854,1,
1389,Bedford,TX,Bedford TX,32.8450023,-97.1691774,ERU,2727,4.5,2002,48043,1,76021
1498,Weatherford,TX,Weatherford TX,32.7674042,-97.8912646,ERU,3300,4.5,,25557,1,76086
1829,Verona,WI,Verona WI,42.9862194,-89.5712569,ERU,2842,4.42,2009,10619,1,53593
566,Greendale,IN,Greendale IN,39.1276223,-84.8825272,ERU,3000,4.39,,4296,0.8,46815
1077,Gahanna,OH,Gahanna OH,40.02164,-82.8572975,ERU,3064,4.33,2004,32636,0.9,
1320,Georgetown County,SC,Georgetown County SC,33.4150938,-79.5840163,ERU,3770,4.33,2007,55797,1,
1103,Lucas County,OH,Lucas County OH,41.6869451,-83.7195827,ERU,5500,4.31,2011,440005,1,
1805,Reedsburg,WI,Reedsburg WI,43.5324759,-90.0334508,ERU,3024,4.3,2008,8594,1,53958
1820,Stoughton,WI,Stoughton WI,42.9230841,-89.2530429,ERU,3105,4.3,2012,12817,1,53589
486,Waukee,IA,Waukee IA,41.5986522,-93.9351634,ERU,2973,4.25,2006,5126,1,50263
489,West Des Moines,IA,West Des Moines IA,41.5489442,-93.8431505,ERU,4000,4.25,,46403,1,50265
282,Stuart,FL,Stuart FL,27.1987185,-80.2756563,ERU,3707,4.18,2000,14633,1,34994
1335,Port Royal,SC,Port Royal SC,32.3570582,-80.7860429,ERU,4906,4.17,,10790,1,29935
1837,Weston,WI,Weston WI,44.8946708,-89.5498689,ERU,3338,4.17,2004,14904,0.8,54474
1104,Marion,OH,Marion OH,40.6020411,-83.1979092,ERU,2778,4.16,1997,36689,1,
1771,Marinette,WI,Marinette WI,45.0903163,-87.6933811,ERU,3105,4.08,2009,10943,1,54143
131,Belle Isle,FL,Belle Isle FL,28.4738112,-81.3668191,ERU,4087,4,2005,6111,1,32619
151,Cutler Bay,FL,Cutler Bay FL,25.5756653,-80.3764359,ERU,1548,4,2007,44300,1,
157,Doral,FL,Doral FL,25.8186392,-80.3891919,ERU,1548,4,2005,46789,1,
189,Indian Creek Village,FL,Indian Creek Village FL,25.878391,-80.1447088,ERU,1548,4,1999,88,0.8,33139
